重庆,日期,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,天气状况,风力风向(夜间/白天),最低气温/最高气温,0
重庆,2021-01-26,2021年01月26日,良,63,128,45,66,8,43,1.06,10,"阴
/小雨","南风 1-2级
                                        /南风 1-2级","8℃
                                        /
                                        11℃",22
重庆,2021-01-27,2021年01月27日,良,63,131,45,62,8,40,1.02,11,"阴
/多云","西风 1-2级
                                        /西风 1-2级","7℃
                                        /
                                        11℃",22
重庆,2021-01-28,2021年01月28日,良,60,150,43,62,8,43,1.04,19,"多云
/阴","东风 1-2级
                                        /东风 1-2级","8℃
                                        /
                                        13℃",22
重庆,2021-01-29,2021年01月29日,良,65,179,47,73,9,49,0.95,16,"阴
/阴","东北风 1-2级
                                        /东北风 1-2级","7℃
                                        /
                                        12℃",22
重庆,2021-01-30,2021年01月30日,良,91,275,68,104,10,48,0.91,20,"阴
/小雨","西南风 1-2级
                                        /西南风 1-2级","8℃
                                        /
                                        12℃",22
重庆,2021-01-31,2021年01月31日,轻度污染,110,311,83,117,11,48,0.91,16,"小雨
/小雨","西南风 1-2级
                                        /西南风 1-2级","8℃
                                        /
                                        11℃",22
重庆,日期,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,天气状况,风力风向(夜间/白天),最低气温/最高气温,23
重庆,2020-12-01,2020年12月01日,优,49,134,32,50,6,39,0.78,16,"小雨
/小雨","北风 1-2级
                                        /北风 1-2级","9℃
                                        /
                                        11℃",23
重庆,2020-12-02,2020年12月02日,良,51,166,34,54,7,37,0.77,9,"小雨
/小雨","东北风 1-2级
                                        /东北风 1-2级","9℃
                                        /
                                        11℃",23
重庆,2020-12-03,2020年12月03日,优,39,125,26,38,6,36,0.80,13,"小雨
/阴","东北风 1-2级
                                        /东北风 1-2级","9℃
                                        /
                                        10℃",23
重庆,2020-12-04,2020年12月03日,优,40,108,26,39,7,38,0.82,16,"小雨
/阴","东北风 1-2级
                                        /东北风 1-2级","9℃
                                        /
                                        10℃",23
重庆,2020-12-05,2020年12月04日,优,47,114,31,47,8,43,0.85,18,"阴
/阴","北风 1-2级
                                        /北风 1-2级","8℃
                                        /
                                        10℃",23
重庆,2020-12-06,2020年12月05日,良,53,99,35,57,7,40,0.79,12,"阴
/小雨","东北风 1-2级
                                        /东北风 1-2级","8℃
                                        /
                                        12℃",23
重庆,2020-12-07,2020年12月06日,良,71,207,52,78,8,43,1.04,5,"阴
/阴","北风 1-2级
                                        /北风 1-2级","9℃
                                        /
                                        11℃",23
重庆,2020-12-08,2020年12月07日,良,57,156,40,55,7,37,0.88,14,"小雨
/小雨","西南风 1-2级
                                        /西南风 1-2级","9℃
                                        /
                                        10℃",23
重庆,2020-12-09,2020年12月08日,优,43,64,25,45,8,41,0.88,13,"多云
/多云","东风 1-2级
                                        /东风 1-2级","8℃
                                        /
                                        13℃",23
重庆,2020-12-10,2020年12月09日,良,68,141,48,79,9,41,1.05,5,"阴
/阴","东北风 1-2级
                                        /东北风 1-2级","10℃
                                        /
                                        12℃",23
重庆,2020-12-11,2020年12月10日,良,77,187,56,84,8,41,1.08,5,"阴
/阴","北风 1-2级
                                        /北风 1-2级","9℃
                                        /
                                        12℃",23
重庆,2020-12-12,2020年12月11日,良,77,182,56,85,10,40,1.07,5,"小雨
/阴","东北风 1-2级
                                        /东北风 1-2级","9℃
                                        /
                                        11℃",23
重庆,2020-12-13,2020年12月12日,良,67,181,48,66,7,38,1.03,6,"阴
/小雨","东北风 1-2级
                                        /东北风 1-2级","10℃
                                        /
                                        12℃",23
重庆,2020-12-14,2020年12月13日,优,32,118,22,29,6,32,0.68,18,"小雨
/小雨","北风 1-2级
                                        /北风 1-2级","5℃
                                        /
                                        10℃",23
重庆,2020-12-15,2020年12月14日,优,45,185,29,44,6,38,0.59,15,"小雨
/阴","南风 1-2级
                                        /南风 1-2级","6℃
                                        /
                                        7℃",23
重庆,2020-12-16,2020年12月15日,良,53,182,34,56,8,43,0.58,12,"阴
/阴","北风 1-2级
                                        /北风 1-2级","6℃
                                        /
                                        8℃",23
重庆,2020-12-17,2020年12月16日,优,47,122,28,50,7,43,0.49,21,"阴
/阴","北风 1-2级
                                        /北风 1-2级","7℃
                                        /
                                        8℃",23
重庆,2020-12-18,2020年12月17日,良,71,233,50,85,11,43,0.73,6,"阴
/阴","北风 1-2级
                                        /北风 1-2级","6℃
                                        /
                                        7℃",23
重庆,2020-12-19,2020年12月18日,良,81,286,60,90,9,46,0.82,6,"阴
/阴","北风 1-2级
                                        /北风 1-2级","5℃
                                        /
                                        9℃",23
重庆,2020-12-20,2020年12月19日,良,88,262,65,99,9,53,0.83,12,"阴
/多云","东北风 1-2级
                                        /东北风 1-2级","6℃
                                        /
                                        9℃",23
重庆,2020-12-21,2020年12月20日,良,92,249,68,105,9,57,0.95,19,"多云
/多云","东北风 1-2级
                                        /东北风 1-2级","4℃
                                        /
                                        9℃",23
重庆,2020-12-22,2020年12月21日,良,99,213,74,112,10,65,1.07,9,"多云
/多云","北风 1-2级
                                        /北风 1-2级","3℃
                                        /
                                        11℃",23
重庆,2020-12-23,2020年12月22日,轻度污染,115,244,87,121,12,56,0.92,14,"多云
/阴","北风 1-2级
                                        /北风 1-2级","4℃
                                        /
                                        11℃",23
重庆,2020-12-24,2020年12月23日,轻度污染,132,299,100,147,12,60,1.35,5,"阴
/阴","西南风 1-2级
                                        /西南风 1-2级","7℃
                                        /
                                        10℃",23
重庆,2020-12-25,2020年12月24日,轻度污染,146,343,111,152,15,55,1.56,5,"多云
/阴","西北风 1-2级
                                        /西北风 1-2级","5℃
                                        /
                                        11℃",23
重庆,2020-12-26,2020年12月25日,中度污染,190,339,143,196,14,60,1.53,5,"阴
/阴","北风 1-2级
                                        /北风 1-2级","6℃
                                        /
                                        10℃",23
重庆,2020-12-27,2020年12月26日,轻度污染,146,282,111,157,10,58,1.41,15,"阴
/阴","西风 1-2级
                                        /西风 1-2级","6℃
                                        /
                                        10℃",23
重庆,2020-12-28,2020年12月27日,轻度污染,134,228,99,139,10,56,1.09,11,"多云
/小雨","东北风 1-2级
                                        /东北风 1-2级","6℃
                                        /
                                        13℃",23
重庆,2020-12-29,2020年12月28日,良,79,287,57,74,8,40,0.80,17,"小雨
/小雨","西北风 1-2级
                                        /西北风 1-2级","6℃
                                        /
                                        9℃",23
重庆,2020-12-30,2020年12月29日,良,59,324,42,60,8,43,0.67,8,"小雨
/阴","北风 1-2级
                                        /北风 1-2级","6℃
                                        /
                                        8℃",23
重庆,2020-12-31,2020年12月30日,良,65,309,47,63,8,40,0.76,6,"阴
/小雨","北风 1-2级
                                        /北风 1-2级","5℃
                                        /
                                        7℃",23
重庆,日期,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,天气状况,风力风向(夜间/白天),最低气温/最高气温,24
重庆,2020-11-01,2020年11月01日,优,31,54,20,30,5,32,0.78,18,"小雨
/小雨","西风 1-2级
                                        /西风 1-2级","15℃
                                        /
                                        17℃",24
重庆,2020-11-02,2020年11月02日,优,33,60,20,33,5,38,0.77,22,"小雨
/小雨","南风 1-2级
                                        /南风 1-2级","13℃
                                        /
                                        15℃",24
重庆,2020-11-03,2020年11月03日,优,43,126,26,44,6,45,0.88,11,"阴
/阴","东风 1-2级
                                        /东风 1-2级","15℃
                                        /
                                        17℃",24
重庆,2020-11-04,2020年11月04日,良,53,160,28,56,8,52,0.91,12,"多云
/小雨","东风 1-2级
                                        /东风 1-2级","14℃
                                        /
                                        17℃",24
重庆,2020-11-05,2020年11月05日,良,62,164,37,73,10,56,0.87,14,"小雨
/小雨","东北风 1-2级
                                        /东北风 1-2级","14℃
                                        /
                                        17℃",24
重庆,2020-11-06,2020年11月06日,良,73,212,52,92,10,49,1.01,16,"多云
/多云","西南风 1-2级
                                        /西南风 1-2级","15℃
                                        /
                                        19℃",24
重庆,2020-11-07,2020年11月07日,良,71,184,50,90,8,57,1.16,28,"阴
/阴","南风 1-2级
                                        /南风 1-2级","15℃
                                        /
                                        20℃",24
重庆,2020-11-08,2020年11月08日,良,80,285,58,102,10,64,1.22,25,"阴
/阴","北风 1-2级
                                        /北风 1-2级","14℃
                                        /
                                        21℃",24
重庆,2020-11-09,2020年11月09日,良,92,316,68,115,12,63,1.18,34,"多云
/多云","南风 1-2级
                                        /南风 1-2级","13℃
                                        /
                                        21℃",24
重庆,2020-11-10,2020年11月10日,良,77,231,54,93,9,60,1.00,39,"晴
/晴","东北风 1-2级
                                        /东北风 1-2级","14℃
                                        /
                                        23℃",24
重庆,2020-11-11,2020年11月11日,良,57,143,35,68,9,56,0.81,38,"晴
/多云","东风 1-2级
                                        /东风 1-2级","14℃
                                        /
                                        24℃",24
重庆,2020-11-12,2020年11月12日,良,64,166,38,78,11,71,1.08,29,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","12℃
                                        /
                                        24℃",24
重庆,2020-11-13,2020年11月13日,良,66,209,41,82,12,69,1.06,36,"晴
/晴","东北风 1-2级
                                        /东北风 1-2级","12℃
                                        /
                                        24℃",24
重庆,2020-11-14,2020年11月14日,良,60,157,35,71,10,63,1.00,42,"晴
/晴","东北风 1-2级
                                        /东北风 1-2级","14℃
                                        /
                                        25℃",24
重庆,2020-11-15,2020年11月15日,良,62,148,37,76,11,67,1.00,37,"晴
/晴","北风 1-2级
                                        /北风 1-2级","13℃
                                        /
                                        24℃",24
重庆,2020-11-16,2020年11月16日,良,76,203,53,101,13,76,1.16,35,"多云
/多云","东北风 1-2级
                                        /东北风 1-2级","14℃
                                        /
                                        24℃",24
重庆,2020-11-17,2020年11月17日,良,100,303,75,127,14,75,1.15,42,"晴
/阴","北风 1-2级
                                        /北风 1-2级","16℃
                                        /
                                        24℃",24
重庆,2020-11-18,2020年11月18日,良,62,321,39,67,9,46,0.82,37,"阴
/阴","西风 1-2级
                                        /西风 1-2级","15℃
                                        /
                                        22℃",24
重庆,2020-11-19,2020年11月19日,良,67,336,41,84,10,64,0.97,39,"多云
/阴","东北风 1-2级
                                        /东北风 1-2级","15℃
                                        /
                                        20℃",24
重庆,2020-11-20,2020年11月20日,良,58,295,36,66,9,50,0.91,20,"小雨
/小雨","东风 1-2级
                                        /东风 1-2级","13℃
                                        /
                                        18℃",24
重庆,2020-11-21,2020年11月21日,优,34,149,20,34,6,31,0.74,16,"小雨
/小雨","西北风 1-2级
                                        /西北风 1-2级","8℃
                                        /
                                        17℃",24
重庆,2020-11-22,2020年11月22日,优,23,85,15,21,5,28,0.66,18,"小雨
/小雨","西北风 1-2级
                                        /西北风 1-2级","8℃
                                        /
                                        11℃",24
重庆,2020-11-23,2020年11月23日,优,25,69,15,24,6,28,0.60,11,"阴
/小雨","西风 1-2级
                                        /西风 1-2级","8℃
                                        /
                                        10℃",24
重庆,2020-11-24,2020年11月24日,优,28,80,18,27,6,31,0.76,5,"小雨
/小雨","北风 1-2级
                                        /北风 1-2级","8℃
                                        /
                                        12℃",24
重庆,2020-11-25,2020年11月25日,优,27,69,17,26,6,28,0.83,7,"阴
/小雨","西北风 1-2级
                                        /西北风 1-2级","9℃
                                        /
                                        12℃",24
重庆,2020-11-26,2020年11月26日,优,50,189,34,54,9,38,0.83,9,"阴
/阴","东北风 1-2级
                                        /东北风 1-2级","10℃
                                        /
                                        14℃",24
重庆,2020-11-27,2020年11月27日,良,60,244,42,66,8,40,0.85,6,"阴
/小雨","西风 1-2级
                                        /西风 1-2级","11℃
                                        /
                                        12℃",24
重庆,2020-11-28,2020年11月28日,优,33,96,21,32,6,34,0.66,16,"小雨
/阴","南风 1-2级
                                        /南风 1-2级","8℃
                                        /
                                        12℃",24
重庆,2020-11-29,2020年11月29日,优,44,130,28,45,7,36,0.77,12,"多云
/多云","东北风 1-2级
                                        /东北风 1-2级","8℃
                                        /
                                        14℃",24
重庆,2020-11-30,2020年11月30日,优,49,126,29,51,8,43,0.90,8,"阴
/阴","东风 1-2级
                                        /东风 1-2级","10℃
                                        /
                                        13℃",24
重庆,日期,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,天气状况,风力风向(夜间/白天),最低气温/最高气温,25
重庆,2020-10-01,2020年10月01日,优,29,69,15,29,8,40,0.84,25,"阴
/小雨","东北风 1-2级
                                        /东北风 1-2级","21℃
                                        /
                                        23℃",25
重庆,2020-10-02,2020年10月02日,优,22,50,13,22,6,31,0.84,19,"小雨
/中雨","东北风 1-2级
                                        /东北风 1-2级","19℃
                                        /
                                        23℃",25
重庆,2020-10-03,2020年10月03日,优,18,44,10,18,6,27,0.83,12,"小雨
/小雨","西北风 1-2级
                                        /西北风 1-2级","18℃
                                        /
                                        21℃",25
重庆,2020-10-04,2020年10月04日,优,14,13,8,13,5,24,0.75,20,"小雨
/小雨","西北风 1-2级
                                        /西北风 1-2级","17℃
                                        /
                                        19℃",25
重庆,2020-10-05,2020年10月05日,优,16,27,10,16,6,25,0.64,32,"小雨
/小雨","东风 1-2级
                                        /东风 1-2级","15℃
                                        /
                                        19℃",25
重庆,2020-10-06,2020年10月06日,优,20,65,12,20,5,27,0.62,23,"小雨
/小雨","东北风 1-2级
                                        /东北风 1-2级","15℃
                                        /
                                        17℃",25
重庆,2020-10-07,2020年10月07日,优,24,78,14,24,6,35,0.75,13,"阴
/阴","南风 1-2级
                                        /南风 1-2级","16℃
                                        /
                                        19℃",25
重庆,2020-10-08,2020年10月08日,优,28,63,15,28,8,33,0.71,13,"阴
/小雨","东北风 1-2级
                                        /东北风 1-2级","17℃
                                        /
                                        19℃",25
重庆,2020-10-09,2020年10月09日,优,26,43,13,26,5,34,0.70,10,"阴
/阴","东北风 1-2级
                                        /东北风 1-2级","15℃
                                        /
                                        21℃",25
重庆,2020-10-10,2020年10月10日,优,40,102,19,40,8,38,0.90,9,"阴
/阴","北风 1-2级
                                        /北风 1-2级","17℃
                                        /
                                        22℃",25
重庆,2020-10-11,2020年10月11日,良,52,177,28,55,8,42,1.05,5,"阴
/小雨","北风 1-2级
                                        /北风 1-2级","18℃
                                        /
                                        20℃",25
重庆,2020-10-12,2020年10月12日,优,32,70,20,32,5,38,0.95,8,"小雨
/多云","西南风 1-2级
                                        /西南风 1-2级","17℃
                                        /
                                        20℃",25
重庆,2020-10-13,2020年10月13日,优,40,123,21,40,7,32,0.98,4,"多云
/多云","西北风 1-2级
                                        /西北风 1-2级","17℃
                                        /
                                        23℃",25
重庆,2020-10-14,2020年10月14日,优,36,158,20,36,6,28,0.91,5,"阴
/小雨","西南风 1-2级
                                        /西南风 1-2级","15℃
                                        /
                                        20℃",25
重庆,2020-10-15,2020年10月15日,优,16,24,10,16,5,27,0.60,19,"小雨
/小雨","西风 1-2级
                                        /西风 1-2级","14℃
                                        /
                                        15℃",25
重庆,2020-10-16,2020年10月16日,优,15,16,10,14,5,29,0.67,14,"小雨
/小雨","西北风 1-2级
                                        /西北风 1-2级","14℃
                                        /
                                        16℃",25
重庆,2020-10-17,2020年10月17日,优,26,81,16,26,6,35,0.59,25,"小雨
/小雨","东南风 1-2级
                                        /东南风 1-2级","14℃
                                        /
                                        16℃",25
重庆,2020-10-18,2020年10月18日,优,32,96,19,32,6,41,0.65,21,"小雨
/小雨","西风 1-2级
                                        /西风 1-2级","14℃
                                        /
                                        18℃",25
重庆,2020-10-19,2020年10月19日,良,53,193,32,56,7,46,0.83,15,"小雨
/小雨","北风 1-2级
                                        /北风 1-2级","15℃
                                        /
                                        19℃",25
重庆,2020-10-20,2020年10月20日,优,36,91,23,36,6,39,0.64,22,"小雨
/阴","北风 1-2级
                                        /北风 1-2级","14℃
                                        /
                                        17℃",25
重庆,2020-10-21,2020年10月21日,优,47,147,29,49,6,43,0.69,19,"多云
/多云","东风 1-2级
                                        /东风 1-2级","13℃
                                        /
                                        20℃",25
重庆,2020-10-22,2020年10月22日,良,58,187,36,66,8,52,0.91,28,"晴
/晴","北风 1-2级
                                        /北风 1-2级","13℃
                                        /
                                        22℃",25
重庆,2020-10-23,2020年10月23日,良,65,208,41,81,9,62,1.01,32,"晴
/多云","东北风 1-2级
                                        /东北风 1-2级","13℃
                                        /
                                        23℃",25
重庆,2020-10-24,2020年10月24日,良,83,318,56,107,11,61,1.00,31,"多云
/多云","东风 1-2级
                                        /东风 1-2级","17℃
                                        /
                                        23℃",25
重庆,2020-10-25,2020年10月25日,良,84,299,55,116,13,74,1.00,17,"阴
/阴","东北风 1-2级
                                        /东北风 1-2级","17℃
                                        /
                                        21℃",25
重庆,2020-10-26,2020年10月26日,轻度污染,104,295,77,134,10,61,1.18,10,"阴
/阴","西南风 1-2级
                                        /西南风 1-2级","17℃
                                        /
                                        21℃",25
重庆,2020-10-27,2020年10月27日,良,88,299,65,108,8,57,1.07,12,"阴
/小雨","北风 1-2级
                                        /北风 1-2级","16℃
                                        /
                                        18℃",25
重庆,2020-10-28,2020年10月28日,优,33,63,22,34,5,35,0.72,11,"小雨
/小雨","西南风 1-2级
                                        /西南风 1-2级","15℃
                                        /
                                        18℃",25
重庆,2020-10-29,2020年10月29日,优,40,81,26,41,6,38,0.74,13,"阴
/阴","东北风 1-2级
                                        /东北风 1-2级","15℃
                                        /
                                        18℃",25
重庆,2020-10-30,2020年10月30日,良,52,141,34,55,7,40,0.90,9,"阴
/小雨","东北风 1-2级
                                        /东北风 1-2级","16℃
                                        /
                                        19℃",25
重庆,2020-10-31,2020年10月31日,优,32,36,21,32,5,34,0.91,9,"小雨
/小雨","西南风 1-2级
                                        /西南风 1-2级","15℃
                                        /
                                        18℃",25
重庆,日期,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,天气状况,风力风向(夜间/白天),最低气温/最高气温,26
重庆,2020-09-01,2020年09月01日,良,60,310,30,55,9,26,0.64,97,"多云
/多云","北风 1-2级
                                        /北风 1-2级","26℃
                                        /
                                        35℃",26
重庆,2020-09-02,2020年09月02日,优,45,207,30,45,6,30,0.67,55,"小雨
/小雨","西南风 1-2级
                                        /西南风 1-2级","26℃
                                        /
                                        30℃",26
重庆,2020-09-03,2020年09月03日,优,46,173,31,46,6,40,0.75,29,"小雨
/阴","东南风 1-2级
                                        /东南风 1-2级","24℃
                                        /
                                        29℃",26
重庆,2020-09-04,2020年09月04日,优,19,22,10,18,5,35,0.63,32,"小雨
/小雨","东北风 1-2级
                                        /东北风 1-2级","22℃
                                        /
                                        29℃",26
重庆,2020-09-05,2020年09月05日,优,32,69,14,31,7,40,0.74,46,"多云
/大雨","东北风 1-2级
                                        /东北风 1-2级","23℃
                                        /
                                        29℃",26
重庆,2020-09-06,2020年09月06日,优,40,114,27,39,6,31,0.67,36,"中雨
/多云","北风 1-2级
                                        /北风 1-2级","22℃
                                        /
                                        26℃",26
重庆,2020-09-07,2020年09月07日,优,42,150,18,36,6,40,0.78,65,"多云
/晴","东南风 1-2级
                                        /东南风 1-2级","22℃
                                        /
                                        31℃",26
重庆,2020-09-08,2020年09月08日,良,55,245,29,59,8,69,0.93,62,"多云
/多云","南风 1-2级
                                        /南风 1-2级","24℃
                                        /
                                        33℃",26
重庆,2020-09-09,2020年09月09日,优,46,202,20,40,7,38,0.71,70,"阴
/大雨","东北风 1-2级
                                        /东北风 1-2级","24℃
                                        /
                                        31℃",26
重庆,2020-09-10,2020年09月10日,良,51,266,35,52,6,35,0.76,44,"小雨
/小雨","西南风 1-2级
                                        /西南风 1-2级","23℃
                                        /
                                        30℃",26
重庆,2020-09-11,2020年09月11日,优,43,273,29,44,7,32,0.74,41,"小雨
/小雨","东南风 1-2级
                                        /东南风 1-2级","22℃
                                        /
                                        27℃",26
重庆,2020-09-12,2020年09月12日,优,25,82,14,24,6,31,0.63,53,"小雨
/小雨","东北风 1-2级
                                        /东北风 1-2级","21℃
                                        /
                                        25℃",26
重庆,2020-09-13,2020年09月13日,优,17,25,10,14,5,25,0.65,49,"小雨
/小雨","东北风 1-2级
                                        /东北风 1-2级","19℃
                                        /
                                        21℃",26
重庆,2020-09-14,2020年09月14日,优,17,18,9,15,5,33,0.70,32,"小雨
/小雨","北风 1-2级
                                        /北风 1-2级","20℃
                                        /
                                        23℃",26
重庆,2020-09-15,2020年09月15日,优,25,78,14,25,5,41,0.86,20,"小雨
/小雨","东北风 1-2级
                                        /东北风 1-2级","21℃
                                        /
                                        24℃",26
重庆,2020-09-16,2020年09月16日,优,29,140,17,29,6,42,0.97,19,"小雨
/小雨","北风 1-2级
                                        /北风 1-2级","21℃
                                        /
                                        23℃",26
重庆,2020-09-17,2020年09月17日,优,20,39,11,18,5,28,0.63,48,"小雨
/多云","东北风 1-2级
                                        /东北风 1-2级","19℃
                                        /
                                        20℃",26
重庆,2020-09-18,2020年09月18日,优,33,188,16,29,5,38,0.72,49,"多云
/多云","东北风 1-2级
                                        /东北风 1-2级","18℃
                                        /
                                        26℃",26
重庆,2020-09-19,2020年09月19日,优,47,244,21,45,8,50,0.81,58,"晴
/阴","东风 1-2级
                                        /东风 1-2级","21℃
                                        /
                                        28℃",26
重庆,2020-09-20,2020年09月20日,优,37,199,18,38,7,35,0.69,45,"阴
/阴","北风 1-2级
                                        /北风 1-2级","23℃
                                        /
                                        28℃",26
重庆,2020-09-21,2020年09月21日,优,33,185,20,33,6,34,0.82,10,"小雨
/中雨","北风 1-2级
                                        /北风 1-2级","19℃
                                        /
                                        25℃",26
重庆,2020-09-22,2020年09月22日,优,14,15,9,13,5,25,0.68,13,"小雨
/多云","西风 1-2级
                                        /西风 1-2级","18℃
                                        /
                                        21℃",26
重庆,2020-09-23,2020年09月23日,优,23,69,13,23,6,37,0.78,18,"小雨
/多云","西风 1-2级
                                        /西风 1-2级","18℃
                                        /
                                        22℃",26
重庆,2020-09-24,2020年09月24日,优,31,103,15,31,8,42,0.88,25,"多云
/小雨","东北风 1-2级
                                        /东北风 1-2级","19℃
                                        /
                                        27℃",26
重庆,2020-09-25,2020年09月25日,优,18,30,10,17,5,31,0.69,33,"小雨
/中雨","东北风 1-2级
                                        /东北风 1-2级","19℃
                                        /
                                        21℃",26
重庆,2020-09-26,2020年09月26日,优,18,29,9,16,6,30,0.64,41,"小雨
/小雨","东风 1-2级
                                        /东风 1-2级","18℃
                                        /
                                        21℃",26
重庆,2020-09-27,2020年09月27日,优,30,101,14,29,8,37,0.66,51,"阴
/阴","东风 1-2级
                                        /东风 1-2级","18℃
                                        /
                                        23℃",26
重庆,2020-09-28,2020年09月28日,优,28,85,13,28,7,44,0.75,26,"小雨
/小雨","东北风 1-2级
                                        /东北风 1-2级","20℃
                                        /
                                        22℃",26
重庆,2020-09-29,2020年09月29日,优,33,127,18,33,6,45,0.81,20,"小雨
/阴","西风 1-2级
                                        /西风 1-2级","18℃
                                        /
                                        23℃",26
重庆,2020-09-30,2020年09月30日,优,40,170,20,40,8,45,0.93,27,"阴
/阴","东北风 1-2级
                                        /东北风 1-2级","19℃
                                        /
                                        25℃",26
重庆,日期,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,天气状况,风力风向(夜间/白天),最低气温/最高气温,27
重庆,2020-08-01,2020年08月01日,良,51,320,25,47,6,32,0.73,81,"多云
/多云","东北风 1-2级
                                        /东北风 1-2级","26℃
                                        /
                                        35℃",27
重庆,2020-08-02,2020年08月02日,优,50,337,25,48,6,30,0.74,92,"晴
/多云","南风 1-2级
                                        /南风 1-2级","28℃
                                        /
                                        37℃",27
重庆,2020-08-03,2020年08月03日,优,43,279,17,37,6,31,0.68,74,"多云
/多云","东北风 1-2级
                                        /东北风 1-2级","29℃
                                        /
                                        37℃",27
重庆,2020-08-04,2020年08月04日,优,31,198,10,26,7,29,0.58,54,"多云
/晴","东南风 1-2级
                                        /东南风 1-2级","29℃
                                        /
                                        37℃",27
重庆,2020-08-05,2020年08月05日,优,30,175,11,25,7,29,0.61,55,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","29℃
                                        /
                                        38℃",27
重庆,2020-08-06,2020年08月06日,优,29,194,10,24,7,26,0.58,61,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","30℃
                                        /
                                        39℃",27
重庆,2020-08-07,2020年08月07日,优,40,306,12,32,8,29,0.60,82,"多云
/阴","东南风 1-2级
                                        /东南风 1-2级","28℃
                                        /
                                        38℃",27
重庆,2020-08-08,2020年08月08日,优,44,316,21,40,8,28,0.69,81,"小雨
/小雨","西风 1-2级
                                        /西风 1-2级","26℃
                                        /
                                        34℃",27
重庆,2020-08-09,2020年08月09日,优,47,299,19,33,6,31,0.74,89,"多云
/晴","东南风 1-2级
                                        /东南风 1-2级","28℃
                                        /
                                        36℃",27
重庆,2020-08-10,2020年08月10日,良,61,343,22,40,7,31,0.84,111,"晴
/多云","东北风 1-2级
                                        /东北风 1-2级","29℃
                                        /
                                        36℃",27
重庆,2020-08-11,2020年08月11日,优,33,167,14,31,7,26,0.65,69,"多云
/多云","东南风 1-2级
                                        /东南风 1-2级","30℃
                                        /
                                        38℃",27
重庆,2020-08-12,2020年08月12日,优,25,126,10,23,7,23,0.53,48,"小雨
/多云","东南风 1-2级
                                        /东南风 1-2级","27℃
                                        /
                                        37℃",27
重庆,2020-08-13,2020年08月13日,优,26,162,14,25,7,27,0.63,34,"小雨
/小雨","西南风 1-2级
                                        /西南风 1-2级","26℃
                                        /
                                        32℃",27
重庆,2020-08-14,2020年08月14日,优,31,208,12,27,6,29,0.60,52,"阴
/阴","东南风 1-2级
                                        /东南风 1-2级","29℃
                                        /
                                        37℃",27
重庆,2020-08-15,2020年08月15日,优,22,87,8,19,6,19,0.48,56,"多云
/多云","东南风 3-4级
                                        /东南风 3-4级","30℃
                                        /
                                        38℃",27
重庆,2020-08-16,2020年08月16日,优,21,69,8,19,6,17,0.44,48,"多云
/多云","东南风 3-4级
                                        /东南风 3-4级","29℃
                                        /
                                        38℃",27
重庆,2020-08-17,2020年08月17日,优,19,41,8,16,5,19,0.43,43,"小雨
/小雨","东南风 1-2级
                                        /东南风 1-2级","30℃
                                        /
                                        36℃",27
重庆,2020-08-18,2020年08月18日,优,28,122,14,28,7,23,0.49,51,"多云
/多云","西南风 3-4级
                                        /西南风 3-4级","30℃
                                        /
                                        33℃",27
重庆,2020-08-19,2020年08月19日,优,30,169,16,28,6,31,0.57,71,"多云
/多云","东风 1-2级
                                        /东风 1-2级","29℃
                                        /
                                        32℃",27
重庆,2020-08-20,2020年08月20日,良,52,337,30,53,8,43,0.75,70,"多云
/小雨","西北风 1-2级
                                        /西北风 1-2级","27℃
                                        /
                                        32℃",27
重庆,2020-08-21,2020年08月21日,优,47,321,24,40,7,35,0.76,79,"多云
/多云","东北风 1-2级
                                        /东北风 1-2级","27℃
                                        /
                                        33℃",27
重庆,2020-08-22,2020年08月22日,优,41,201,14,30,8,29,0.61,82,"多云
/多云","南风 1-2级
                                        /南风 1-2级","28℃
                                        /
                                        37℃",27
重庆,2020-08-23,2020年08月23日,优,41,201,19,36,7,27,0.59,71,"多云
/雷阵雨","南风 1-2级
                                        /南风 1-2级","25℃
                                        /
                                        38℃",27
重庆,2020-08-24,2020年08月24日,优,33,156,17,33,6,23,0.57,58,"小雨
/多云","西风 1-2级
                                        /西风 1-2级","23℃
                                        /
                                        29℃",27
重庆,2020-08-25,2020年08月25日,良,51,295,17,37,8,33,0.61,96,"晴
/晴","西北风 1-2级
                                        /西北风 1-2级","24℃
                                        /
                                        34℃",27
重庆,2020-08-26,2020年08月26日,良,74,355,24,55,9,51,0.80,116,"晴
/晴","北风 1-2级
                                        /北风 1-2级","25℃
                                        /
                                        36℃",27
重庆,2020-08-27,2020年08月27日,良,73,354,27,60,11,51,0.81,115,"晴
/晴","东风 1-2级
                                        /东风 1-2级","26℃
                                        /
                                        38℃",27
