重庆,日期,日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,天气状况,风力风向(夜间/白天),最低气温/最高气温,0
重庆,2022-08-04,2022年08月04日,优,35,159,17,29,8,20,0.59,87,"多云
/多云","东南风 1-2级
                                        /东南风 1-2级","30℃
                                        /
                                        40℃",3
重庆,2022-08-05,2022年08月05日,优,36,199,18,29,8,19,0.62,91,"多云
/晴","南风 1-2级
                                        /南风 1-2级","29℃
                                        /
                                        40℃",3
重庆,2022-08-06,2022年08月06日,优,29,150,12,22,7,18,0.59,75,"多云
/晴","东南风 1-2级
                                        /东南风 1-2级","27℃
                                        /
                                        39℃",3
重庆,2022-08-07,2022年08月07日,优,26,98,9,18,8,15,0.56,72,"多云
/多云","东南风 1-2级
                                        /东南风 1-2级","31℃
                                        /
                                        40℃",3
重庆,2022-08-08,2022年08月08日,优,31,176,11,21,8,19,0.57,84,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","31℃
                                        /
                                        40℃",3
重庆,2022-08-09,2022年08月09日,优,30,185,12,23,8,19,0.56,75,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","33℃
                                        /
                                        40℃",3
重庆,2022-08-10,2022年08月10日,优,32,189,13,24,8,20,0.56,80,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","33℃
                                        /
                                        41℃",3
重庆,2022-08-11,2022年08月11日,优,30,134,12,23,8,19,0.55,70,"多云
/多云","东南风 1-2级
                                        /东南风 1-2级","33℃
                                        /
                                        41℃",3
重庆,2022-08-12,2022年08月12日,优,26,112,10,17,8,15,0.52,70,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","32℃
                                        /
                                        41℃",3
重庆,2022-08-13,2022年08月13日,优,27,98,9,18,8,14,0.49,78,"晴
/晴","东南风 1-2级
                                        /东南风 1-2级","33℃
                                        /
                                        41℃",3
重庆,2022-08-14,2022年08月14日,优,30,122,10,20,8,16,0.50,84,"多云
/多云","东南风 1-2级
                                        /东南风 1-2级","33℃
                                        /
                                        42℃",3
重庆,2022-08-15,2022年08月15日,优,35,190,14,26,9,21,0.60,88,"晴
/多云","东风 1-2级
                                        /东风 1-2级","33℃
                                        /
                                        42℃",3
重庆,2022-08-16,2022年08月16日,优,35,181,16,28,9,22,0.60,79,"多云
/多云","东南风 1-2级
                                        /东南风 1-2级","33℃
                                        /
                                        42℃",3
